,mid_x,mid_y,azim_frac
113,793031.7187209204,931341.5937720947,54.76630256174313
114,794055.2811422944,931725.4376566373,-73.91693612541395
115,794300.4999760035,931659.0937932618,-73.91693612541395
116,794575.9062493369,931583.5312803425,-73.91693612541395
117,794440.6561917532,931181.1250969693,-124.44912277949528
118,794705.562486086,931374.4687063433,-124.44912277949528
119,794893.093771128,931499.8124517165,-124.44912277949528
120,794485.2500986289,939381.8124357164,108.15553350449527
121,794329.3750822973,939441.8749796338,108.15553350449527
122,794176.8438912965,939487.5625523031,108.15553350449527
123,794076.0625967961,939510.9063376375,108.15553350449527
124,793578.7499431279,959295.4688025527,-131.43177752946838
125,793733.1251265034,959436.8750158027,-131.43177752946838
126,793933.5313857961,959620.8124760091,-131.43177752946838
127,794068.6562795881,959748.3125490919,-131.43177752946838
128,794174.9687310047,959856.1563294679,-131.43177752946838
129,794352.9687030874,960027.7813143022,-131.43177752946838
130,794908.9060754627,962220.1561946347,-136.61716524377314
131,796120.6874445453,963443.9062077589,-136.61716524377314
132,793770.062552629,955728.84371797,-119.37609385525174
133,794138.656139588,955980.4062069692,-119.37609385525174
134,794403.4062662534,956172.7499823868,-119.37609385525174
135,794593.8125455454,956308.8750382215,-119.37609385525174
136,794998.0000573788,956552.6250428446,-119.37609385525174
137,795507.0313555859,956890.8750225082,-119.37609385525174
138,795794.499940753,957106.2499198429,-119.37609385525174
139,795932.7499923371,957218.3748596348,-119.37609385525174
140,796106.5938047543,957397.3124938831,-119.37609385525174
141,793980.7499593366,945852.2187862173,-123.41530853467002
142,794235.5937737953,946055.9687068015,-123.41530853467002
143,794482.5626040045,946279.56241972,-123.41530853467002
144,794691.9688452948,946477.5936837606,-123.41530853467002
145,794955.7188099194,946713.7500355951,-123.41530853467002
146,795247.2187190447,946964.4063584283,-123.41530853467002
147,795550.2187692113,947208.7500298433,-123.41530853467002
148,795811.6562384628,947418.9999374263,-123.41530853467002
149,795996.0936976708,947576.7812819667,-123.41530853467002
150,796213.6875866279,947773.8438799679,-123.41530853467002
151,796392.4375572111,947935.9062198848,-123.41530853467002
152,796439.5624629613,947973.4374768436,-123.41530853467002
153,796507.46865917,948030.2500272617,-123.41530853467002
154,796617.343603462,948114.2186913453,-123.41530853467002
155,796863.5311032124,948241.3437651768,-123.41530853467002
156,797173.406139629,948393.4374570511,-123.41530853467002
157,797381.2187161297,948509.312389344,-123.41530853467002
158,797505.0624645054,948583.7187365927,-123.41530853467002
159,797658.656153379,948688.0000240915,-123.41530853467002
160,797780.5624056291,948775.0000141338,-123.41530853467002
161,797788.9687208384,948783.3124975115,-123.41530853467002
162,797858.3437461294,948852.2186917216,-123.41530853467002
163,798007.9999428783,949016.5000232607,-123.41530853467002
164,798185.968747044,949221.0937741771,-123.41530853467002
165,794005.1562425457,933778.3749877587,-111.47720208091825
166,794162.1874245442,933821.4062337168,-111.47720208091825
167,794408.6874236707,933888.2812640108,-111.47720208091825
168,794579.437410254,933946.0313125513,-111.47720208091825
169,794689.3750184607,933982.4062398002,-111.47720208091825
170,794844.7500357945,934032.9686386772,-111.47720208091825
171,795033.3749866281,934094.2186802179,-111.47720208091825
172,795189.2500029616,934146.4062398821,-111.47720208091825
173,789727.2499361709,959271.1873550527,55.08172051027297
174,789598.9688607119,959189.156187091,55.08172051027297
175,789451.7188271284,959091.4687184244,55.08172051027297
176,789358.468685545,959030.1250090934,55.08172051027297
177,789194.9061845858,958921.0625631772,55.08172051027297
178,788960.0936620869,958763.4375503436,55.08172051027297
179,788814.5311251283,958676.5000601783,55.08172051027297
180,788736.2499496695,958629.2188227214,55.08172051027297
181,788591.4687431697,958542.8438314274,55.08172051027297
182,788464.8125004191,958467.7499855496,55.08172051027297
183,789028.2186898794,959401.4064187631,63.338801788126105
184,788970.2186418381,959371.843813844,63.338801788126105
