id_arr,coord_x,coord_y,length,angle,group,neighbor_1_x,neighbor_2_x,neighbor_3_x,neighbor_4_x,neighbor_5_x,neighbor_1_y,neighbor_2_y,neighbor_3_y,neighbor_4_y,neighbor_5_y,neighbor_1_distance,neighbor_2_distance,neighbor_3_distance,neighbor_4_distance,neighbor_5_distance,neighbor_1_angle,neighbor_2_angle,neighbor_3_angle,neighbor_4_angle,neighbor_5_angle
3.0,794283.1250107549,980322.8750744238,31.584397009607123,-71.06309848974924,7,794293.3749902546,794293.6249897555,794423.875057336,794423.6250578389,794439.3126905039,980293.0001341776,980255.3752094284,980340.1250399275,980380.1249599232,980286.87481834,31.584397009607123,68.31164859245985,141.80316259675158,151.71622398504533,160.28290533764795,-89.61930274733056,0.0,-73.83273522995117,-89.64190604481173,0.0
3.0,794293.3749902546,980293.0001341776,37.62575530321366,-89.61930274733056,7,794283.1250107549,794293.6249897555,794423.875057336,794439.3126905039,794423.6250578389,980322.8750744238,980255.3752094284,980340.1250399275,980286.87481834,980380.1249599232,31.584397009607123,37.62575530321366,138.74806034739194,146.06618995562468,156.70295264254625,-71.06309848974924,0.0,-73.83273522995117,0.0,-89.64190604481173
3.0,794293.6249897555,980255.3752094284,0.0,0.0,8,794293.3749902546,794283.1250107549,794439.3126905039,794423.875057336,794423.6250578389,980293.0001341776,980322.8750744238,980286.87481834,980340.1250399275,980380.1249599232,37.62575530321366,68.31164859245985,149.0541227573064,155.39502525615626,180.17357728095158,-89.61930274733056,-71.06309848974924,0.0,-73.83273522995117,-89.64190604481173
4.0,794367.187506672,981762.5001479238,107.16678285944343,140.1816499928864,4,794284.8750072531,794182.8125473373,794254.5000680052,793976.8749670871,794003.6249135882,981831.1250106768,981936.6874635963,981425.6875013412,981941.8124533443,982125.6874136776,107.16678285944343,253.64413372061603,355.1636492256324,429.5308853068232,513.8898219419409,134.0342400016904,133.4734105804869,0.0,-61.724063919559285,0.0
4.0,794284.8750072531,981831.1250106768,146.8338421157457,134.0342400016904,3,794367.187506672,794182.8125473373,793976.8749670871,794254.5000680052,794003.6249135882,981762.5001479238,981936.6874635963,981941.8124533443,981425.6875013412,982125.6874136776,107.16678285944343,146.8338421157457,327.2854025259742,406.5737459681258,407.26971953258135,140.1816499928864,133.4734105804869,-61.724063919559285,0.0,0.0
4.0,794182.8125473373,981936.6874635963,260.44037555514853,133.4734105804869,3,794284.8750072531,793976.8749670871,794367.187506672,794003.6249135882,794003.6249135882,981831.1250106768,981941.8124533443,981762.5001479238,982125.6874136776,982125.6874136776,146.8338421157457,206.00134096463103,253.64413372061603,260.44037555514853,260.44037555514853,134.0342400016904,-61.724063919559285,140.1816499928864,0.0,31.94625587080179
4.0,794003.6249135882,982125.6874136776,0.0,0.0,8,794003.6249135882,793976.8749670871,794182.8125473373,794308.6249597557,794284.8750072531,982125.6874136776,981941.8124533443,981936.6874635963,982315.8750254288,981831.1250106768,0.0,185.8105504952752,260.44037555514853,359.4389458946239,407.26971953258135,31.94625587080179,-61.724063919559285,133.4734105804869,0.0,134.0342400016904
5.0,794517.3125345036,987172.8748258428,83.09720941472152,109.92054563887022,3,794488.9999270886,794433.1873746701,794433.1873746701,794365.125174839,794268.1873765886,987250.9999976754,987364.8750980124,987364.8750980124,987361.81244009,987343.8124760912,83.09720941472152,209.62143743000888,209.62143743000888,242.60753186804374,302.13080706649004,116.11043385072439,-177.42354668459373,114.23884162145825,-169.48079831581921,-179.4291997945319
5.0,794488.9999270886,987250.9999976754,126.81711037643628,116.11043385072439,3,794517.3125345036,794433.1873746701,794433.1873746701,794365.125174839,794268.1873765886,987172.8748258428,987364.8750980124,987364.8750980124,987361.81244009,987343.8124760912,83.09720941472152,126.81711037643628,126.81711037643628,166.20575091968513,239.5252358479396,109.92054563887022,-177.42354668459373,114.23884162145825,-169.48079831581921,-179.4291997945319
5.0,794433.1873746701,987364.8750980124,235.51217787053605,114.23884162145825,3,794433.1873746701,794365.125174839,794488.9999270886,794268.1873765886,794517.3125345036,987364.8750980124,987361.81244009,987250.9999976754,987343.8124760912,987172.8748258428,0.0,68.13107161483494,126.81711037643628,166.33891128981722,209.62143743000888,-177.42354668459373,-169.48079831581921,116.11043385072439,-179.4291997945319,109.92054563887022
5.0,794336.499904003,987579.6249965952,626.6611731774412,116.38613571735395,3,794365.125174839,794433.1873746701,794433.1873746701,794268.1873765886,794218.0001410022,987361.81244009,987364.8750980124,987364.8750980124,987343.8124760912,987343.3124770968,219.6854931527566,235.51217787053605,235.51217787053605,245.5079351633936,264.35922662717525,-169.48079831581921,-177.42354668459373,114.23884162145825,-179.4291997945319,-174.31965432057515
5.0,794058.0001329221,988141.0001861752,485.4619696623825,114.67778939908419,3,793870.3125161715,793931.8123931699,793675.6249134205,793855.3125461712,793585.8750929199,987955.9999000132,987884.8123783468,987900.8123463468,988582.1249600948,988019.3751013428,263.53699429405947,285.5793034232508,451.5539911132562,485.4619696623825,487.5394493346596,-49.17581495426635,0.0,-59.9129627391634,112.22660451423518,-52.87494980013863
5.0,793855.3125461712,988582.1249600948,187.69678254298768,112.22660451423518,3,793784.3123600855,793484.1249683388,794058.0001329221,793612.1250404194,793585.8750929199,988755.8749406784,988622.1248800904,988141.0001861752,989110.1248883456,988019.3751013428,187.69678254298768,373.33659281779666,485.4619696623825,581.3123834795257,623.9262334122283,115.92260994839647,131.04971263923878,114.67778939908419,113.12374295724693,-52.87494980013863
5.0,793784.3123600855,988755.8749406784,393.88005595111446,115.92260994839647,3,793855.3125461712,793484.1249683388,793612.1250404194,793552.8751589209,793225.8748286702,988582.1249600948,988622.1248800904,989110.1248883456,989248.8749389276,988918.6876071766,187.69678254298768,328.635891026886,393.88005595111446,544.6211310229097,581.6875801197436,112.22660451423518,131.04971263923878,113.12374295724693,116.81667590031752,0.0
5.0,793612.1250404194,989110.1248883456,150.87121989993116,113.12374295724693,3,793552.8751589209,793529.8748768382,793784.3123600855,793225.8748286702,793484.1249683388,989248.8749389276,989294.3748479262,988755.8749406784,988918.6876071766,988622.1248800904,150.87121989993116,201.77496627329828,393.88005595111446,431.08869006006125,504.5077070865886,116.81667590031752,0.0,115.92260994839647,0.0,131.04971263923878
5.0,793552.8751589209,989248.8749389276,50.982886293007596,116.81667590031752,3,793529.8748768382,793612.1250404194,793225.8748286702,793784.3123600855,793484.1249683388,989294.3748479262,989110.1248883456,988918.6876071766,988755.8749406784,988622.1248800904,50.982886293007596,150.87121989993116,464.70731652612403,544.6211310229097,630.50949632623,0.0,113.12374295724693,0.0,115.92260994839647,131.04971263923878
5.0,793529.8748768382,989294.3748479262,0.0,0.0,8,793552.8751589209,793612.1250404194,793225.8748286702,793784.3123600855,793484.1249683388,989248.8749389276,989110.1248883456,988918.6876071766,988755.8749406784,988622.1248800904,50.982886293007596,201.77496627329828,483.27728288033,595.5842366846072,673.8049223499321,116.81667590031752,113.12374295724693,0.0,115.92260994839647,131.04971263923878
